OBJECTID,PercentagePopOverRegion,PercentagePopAge15to19,PercentagePopAge20to24,PercentagePopAge25to29,PercentagePopAge30to34,PercentagePopAge35to39,PercentagePopAge40to44,PercentagePopAge45to49,PercentagePopAge50to54,PercentagePopAge55to59,PercentagePopAge60to64,PercentageWhiteOnly,PercentageBlackOnly,PercentageAmerIndianOnly,PercentageAsianOnly,PercentagePacIslandOnly,PercentageOther,PercentagePlus2Races,PercentageHispanic,PercentageNonHispanic,PercentageUnknown,PercentageLow,PercentageHighSchoolOrCollege,PercentageBachelors,PercentageGraduate,Households2020IncomeMedian
75,0.013206103796754841,0.041158536585365856,0.04573170731707317,0.07621951219512195,0.16920731707317074,0.20426829268292682,0.18445121951219512,0.08841463414634146,0.08841463414634146,0.054878048780487805,0.04725609756097561,0.5312855517633674,0.40159271899886234,0.0011376564277588168,0.01478953356086462,0.0,0.013651877133105802,0.03754266211604096,0.04323094425483504,0.9567690557451649,0.08689024390243902,-0.07774390243902439,0.01524390243902439,0.5365853658536586,0.43902439024390244,126273
79,0.03180738414462294,0.04240506329113924,0.04430379746835443,0.13734177215189874,0.16265822784810127,0.14240506329113925,0.11835443037974684,0.10569620253164556,0.0981012658227848,0.07658227848101266,0.07215189873417721,0.34962756052141525,0.5567970204841713,0.0,0.05726256983240224,0.0,0.006517690875232775,0.0297951582867784,0.027932960893854747,0.9720670391061452,0.08670886075949367,0.1778481012658228,0.10316455696202531,0.330379746835443,0.3018987341772152,62141
107,0.02073519346136812,0.0912621359223301,0.11844660194174757,0.10679611650485436,0.15436893203883495,0.1436893203883495,0.10388349514563107,0.07961165048543689,0.06407766990291262,0.06699029126213592,0.070873786407767,0.08333333333333333,0.8753280839895013,0.0006561679790026247,0.011811023622047244,0.0013123359580052493,0.0032808398950131233,0.024278215223097113,0.016404199475065617,0.9835958005249343,0.20970873786407768,0.32427184466019415,0.2,0.16990291262135923,0.09611650485436893,29249
112,0.0863026935620244,0.4072778166550035,0.26941917424772566,0.08117564730580826,0.057849311873104735,0.03918824352694192,0.03382318637742011,0.025658968975973875,0.025425705621646838,0.032656869605784934,0.027525075810590157,0.3022013250694593,0.5603761487497328,0.0021372088053002777,0.08634323573413122,0.0006411626415900834,0.01944860012823253,0.02885231887155375,0.04424022226971575,0.9557597777302842,0.6766969909027292,0.06274784231397247,0.0496850944716585,0.12269652437602052,0.08817354793561931,45623
113,0.029995571123726698,0.042953020134228186,0.06241610738255034,0.10671140939597315,0.16778523489932887,0.1906040268456376,0.1348993288590604,0.10201342281879194,0.087248322147651,0.06040268456375839,0.04496644295302014,0.504390243902439,0.43317073170731707,0.002926829268292683,0.03560975609756097,0.0,0.004878048780487805,0.01902439024390244,0.03853658536585366,0.9614634146341463,0.10536912751677853,0.1395973154362416,0.10335570469798658,0.35436241610738256,0.2973154362416107,101879
122,0.046080444498127794,0.027522935779816515,0.12975098296199214,0.24639580602883354,0.18610747051114024,0.13543031891655744,0.07295762341633902,0.05286151157710791,0.05329838357361293,0.05242463958060288,0.04325032765399738,0.39578794480755264,0.49201161946259986,0.0036310820624546117,0.04720406681190995,0.0007262164124909223,0.02178649237472767,0.038852578068264344,0.06027596223674655,0.9397240377632534,0.15727391874180865,0.11052861511577108,0.13848842289209262,0.2743556138051551,0.3193534294451726,74212
144,0.028425333172283285,0.029745042492917848,0.06373937677053824,0.12677053824362605,0.16572237960339944,0.16147308781869688,0.13172804532577903,0.09490084985835694,0.0679886685552408,0.07507082152974505,0.08286118980169972,0.760043431053203,0.16449511400651465,0.002171552660152009,0.03745928338762215,0.0,0.006514657980456026,0.029315960912052116,0.041802388707926165,0.9581976112920738,0.09348441926345609,0.08427762039660057,0.04320113314447592,0.3973087818696884,0.38172804532577903,113729
147,0.014232797841929379,0.1074964639321075,0.12871287128712872,0.15841584158415842,0.10891089108910891,0.09900990099009901,0.08345120226308345,0.0891089108910891,0.08345120226308345,0.07072135785007072,0.07072135785007072,0.04640151515151515,0.875,0.005681818181818182,0.004734848484848485,0.0,0.04071969696969697,0.027462121212121212,0.061553030303030304,0.9384469696969697,0.2362093352192362,0.2164073550212164,0.3606789250353607,0.15558698727015557,0.031117397454031116,30887
150,0.015380279421830333,0.09554973821989529,0.14267015706806283,0.1400523560209424,0.14528795811518325,0.09816753926701571,0.07460732984293193,0.09424083769633508,0.09554973821989529,0.061518324607329845,0.05235602094240838,0.019175455417066157,0.9424736337488016,0.0,0.003835091083413231,0.0,0.011505273250239693,0.023010546500479387,0.023010546500479387,0.9769894534995206,0.23821989528795812,0.32329842931937175,0.2905759162303665,0.08507853403141362,0.06282722513089005,33821
156,0.033921166002335225,0.12937685459940654,0.10089020771513353,0.1026706231454006,0.18160237388724035,0.1513353115727003,0.08427299703264095,0.07537091988130563,0.06706231454005934,0.058160237388724036,0.04925816023738872,0.01074523396880416,0.9726169844020798,0.0006932409012131716,0.0,0.0,0.0017331022530329288,0.014211438474870018,0.00901213171577123,0.9909878682842288,0.23026706231454006,0.2433234421364985,0.3863501483679525,0.12462908011869436,0.01543026706231454,18375
