step	agentId	[regionId,diseaseStatus,diseaseSeq,time,location,checkin,Reported,Sampled,Sequenced]
0	66	[1,Susceptible,,,,,false,false,false]	
0	67	[1,Susceptible,,,,,false,false,false]	
0	68	[1,Susceptible,,,,,false,false,false]	
0	69	[1,Susceptible,,,,,false,false,false]	
0	70	[1,Susceptible,,,,,false,false,false]	
0	71	[1,Susceptible,,,,,false,false,false]	
0	72	[1,Susceptible,,,,,false,false,false]	
0	73	[1,Susceptible,,,,,false,false,false]	
0	74	[1,Susceptible,,,,,false,false,false]	
0	75	[1,Susceptible,,,,,false,false,false]	
0	76	[1,Susceptible,,,,,false,false,false]	
0	77	[1,Susceptible,,,,,false,false,false]	
0	78	[1,Susceptible,,,,,false,false,false]	
0	79	[1,Susceptible,,,,,false,false,false]	
0	80	[1,Susceptible,,,,,false,false,false]	
0	81	[1,Susceptible,,,,,false,false,false]	
0	82	[1,Susceptible,,,,,false,false,false]	
0	83	[1,Susceptible,,,,,false,false,false]	
0	84	[1,Susceptible,,,,,false,false,false]	
0	85	[1,Susceptible,,,,,false,false,false]	
0	86	[1,Susceptible,,,,,false,false,false]	
0	87	[1,Susceptible,,,,,false,false,false]	
0	88	[1,Susceptible,,,,,false,false,false]	
0	89	[1,Susceptible,,,,,false,false,false]	
0	90	[1,Susceptible,,,,,false,false,false]	
0	91	[1,Susceptible,,,,,false,false,false]	
0	92	[1,Susceptible,,,,,false,false,false]	
0	93	[1,Susceptible,,,,,false,false,false]	
0	94	[1,Susceptible,,,,,false,false,false]	
0	95	[1,Susceptible,,,,,false,false,false]	
0	96	[1,Susceptible,,,,,false,false,false]	
0	97	[1,Susceptible,,,,,false,false,false]	
0	98	[1,Susceptible,,,,,false,false,false]	
0	99	[1,Susceptible,,,,,false,false,false]	
0	100	[1,Susceptible,,,,,false,false,false]	
0	101	[1,Susceptible,,,,,false,false,false]	
0	102	[1,Susceptible,,,,,false,false,false]	
0	103	[1,Susceptible,,,,,false,false,false]	
0	104	[1,Susceptible,,,,,false,false,false]	
0	105	[1,Susceptible,,,,,false,false,false]	
0	106	[1,Susceptible,,,,,false,false,false]	
0	107	[1,Susceptible,,,,,false,false,false]	
0	108	[1,Susceptible,,,,,false,false,false]	
0	109	[1,Susceptible,,,,,false,false,false]	
0	110	[1,Susceptible,,,,,false,false,false]	
0	111	[1,Susceptible,,,,,false,false,false]	
0	112	[1,Susceptible,,,,,false,false,false]	
0	113	[1,Susceptible,,,,,false,false,false]	
0	114	[1,Susceptible,,,,,false,false,false]	
0	115	[1,Susceptible,,,,,false,false,false]	
0	116	[1,Susceptible,,,,,false,false,false]	
0	117	[1,Susceptible,,,,,false,false,false]	
0	118	[1,Susceptible,,,,,false,false,false]	
0	119	[1,Susceptible,,,,,false,false,false]	
0	120	[1,Susceptible,,,,,false,false,false]	
0	121	[1,Susceptible,,,,,false,false,false]	
